Klasse;Kind;L1;Literacy;AoA;Gender;Ballungsgebiete ;WORTTREFFER;GRAPHEMTREFFER;A;O;M
3;t102;T;1;1;f;;42,0;85,0;80,0;53,0;30,0
3;r009;R;1;1;f;;55,0;85,0;80,0;53,0;30,0
3;r059;R;1;0;m;;55,0;88,0;95,0;73,0;30,0
3;r049;R;1;1;f;;66,0;92,0;90,0;93,0;30,0
3;t114;T;0;1;f;;34,0;80,0;65,0;20,0;40,0
3;t006;T;0;1;m;;47,0;82,0;70,0;40,0;40,0
3;t075;T;1;1;f;;45,0;83,0;95,0;60,0;40,0
3;t089;T;1;0;f;;58,0;88,0;85,0;73,0;40,0
3;t049;T;0;0;m;;58,0;89,0;95,0;60,0;50,0
3;t051;T;1;0;f;;55,0;88,0;80,0;73,0;50,0
3;t063;T;1;0;f;;66,0;92,0;95,0;73,0;50,0
3;r023;R;0;0;m;;45,0;83,0;65,0;47,0;60,0
3;r051;R;0;0;m;;47,0;83,0;85,0;47,0;60,0
3;t074;T;1;0;m;;68,0;93,0;100,0;80,0;60,0
3;r055;R;0;0;m;;42,0;82,0;85,0;87,0;60,0
3;r079;R;1;0;m;;68,0;93,0;100,0;87,0;60,0
3;r063;R;1;0;f;;82,0;95,0;95,0;93,0;60,0
3;r026;R;1;1;f;;42,0;83,0;90,0;47,0;70,0
3;r092;R;1;0;f;;55,0;90,0;100,0;73,0;70,0
3;t090;T;1;0;m;;61,0;90,0;75,0;80,0;70,0
3;r103;R;0;1;m;;61,0;91,0;95,0;87,0;70,0
3;t059;T;1;1;m;;79,0;95,0;95,0;87,0;70,0
3;r024;R;1;0;f;;68,0;95,0;95,0;93,0;70,0
3;t061;T;0;1;f;;79,0;94,0;100,0;93,0;70,0
3;r027;R;1;0;m;;68,0;92,0;90,0;73,0;80,0
3;r035;R;0;1;m;;63,0;74,0;100,0;80,0;80,0
3;t098;T;1;0;m;;66,0;91,0;85,0;87,0;80,0
3;t018;T;1;0;f;;89,0;96,0;100,0;100,0;80,0
3;r066;R;1;1;f;;82,0;96,0;100,0;87,0;90,0
3;r042;R;1;1;f;;82,0;96,0;100,0;93,0;90,0
3;r032;R;1;1;f;;84,0;96,0;100,0;80,0;100,0
