Klasse;Kind;L1;Literacy;AoA;Gender;Ballungsgebiete;WORTTREFFER;GRAPHEMTREFFER;A;O;M;;;;;;;
2;r063;R;1;0;f;T-wert;54,00;56,00;64,00;59,00;58,00;;;;;;;
2;r066;R;1;1;f;T-wert;57,00;60,00;52,00;61,00;58,00;;;;;;;
2;r032;R;1;1;f;T-wert;60,00;62,00;64,00;65,00;61,00;;;;;;;
2;r055;R;0;0;m;T-wert;60,00;63,00;58,00;71,00;58,00;;;;;;;
2;t018;T;1;0;f;T-wert;66,00;67,00;64,00;65,00;73,00;;;;;;;
2;r042;R;1;1;f;T-wert;66,00;69,00;58,00;65,00;73,00;;;;;;;
3;r061;R;0;0;m;T-wert;22,00;22,00;22,40;25,00;25,00;;;;;;;
3;t087;T;0;0;f;T-wert;25,00;22,00;23,00;35,00;33,00;;;;;;;
3;r095;R;0;1;m;T-wert;23,00;26,00;32,00;25,00;33,00;;;;;;;
3;r035;R;0;1;m;T-wert;45,00;31,00;59,00;51,00;53,00;;;;;;;
3;t068;T;0;1;f;T-wert;29,00;32,00;42,00;25,00;33,00;;;;;;;
3;r028;R;1;0;f;T-wert;35,00;34,00;39,00;37,00;25,00;;;;;;;
3;t114;T;0;1;f;T-wert;34,00;34,00;32,00;30,00;40,00;;;;;;;
3;r055;R;0;0;m;T-wert;37,00;36,00;42,00;54,00;47,00;;;;;;;
3;t006;T;0;1;m;T-wert;38,00;37,00;34,00;37,00;40,00;;;;;;;
3;r023;R;0;0;m;T-wert;38,00;38,00;32,00;39,00;47,00;;;;;;;
3;r026;R;1;1;f;T-wert;37,00;38,00;45,00;39,00;49,00;;;;;;;
3;r051;R;0;0;m;T-wert;38,00;38,00;42,00;39,00;47,00;;;;;;;
3;r062;R;0;0;m;T-wert;37,00;38,00;39,00;32,00;37,00;;;;;;;
3;t075;T;1;1;f;T-wert;38,00;38,00;50,00;42,00;40,00;;;;;;;
3;t088;T;1;0;f;T-wert;37,00;38,00;39,00;37,00;30,00;;;;;;;
3;t102;T;1;1;f;T-wert;37,00;40,00;39,00;40,00;37,00;;;;;;;
3;r009;R;1;1;f;T-wert;42,00;41,00;39,00;40,00;37,00;;;;;;;
3;r059;R;1;0;m;T-wert;42,00;43,00;50,00;48,00;37,00;;;;;;;
3;t051;T;1;0;f;T-wert;42,00;44,00;39,00;48,00;44,00;;;;;;;
3;t089;T;1;0;f;T-wert;43,00;44,00;42,00;48,00;40,00;;;;;;;
3;t049;T;0;0;m;T-wert;43,00;45,00;50,00;42,00;44,00;;;;;;;
3;r092;R;1;0;f;T-wert;42,00;46,00;59,00;48,00;49,00;;;;;;;
3;t090;T;1;0;m;T-wert;44,00;46,00;37,00;51,00;49,00;;;;;;;
3;r027;R;1;0;m;T-wert;50,00;48,00;45,00;48,00;53,00;;;;;;;
3;r049;R;1;1;f;T-wert;46,00;48,00;45,00;57,00;37,00;;;;;;;
3;r103;R;0;1;m;T-wert;44,00;48,00;50,00;54,00;49,00;;;;;;;
3;t098;T;1;0;m;T-wert;4,00;48,00;42,00;54,00;53,00;;;;;;;
3;t063;T;1;0;f;T-wert;46,00;49,00;50,00;48,00;44,00;;;;;;;
3;r079;R;1;0;m;T-wert;47,00;50,00;59,00;54,00;47,00;;;;;;;
3;t074;T;1;0;m;T-wert;47,00;50,00;59,00;51,00;47,00;;;;;;;
3;t061;T;0;1;f;T-wert;52,00;51,00;59,00;57,00;49,00;;;;;;;
3;r024;R;1;0;f;T-wert;50,00;53,00;50,00;57,00;49,00;;;;;;;
3;t059;T;1;1;m;T-wert;52,00;53,00;50,00;54,00;49,00;;;;;;;
3;r063;R;1;0;f;T-wert;54,00;54,00;50,00;57,00;47,00;;;;;;;
3;r032;R;1;1;f;T-wert;56,00;57,00;59,00;51,00;64,00;;;;;;;
3;r042;R;1;1;f;T-wert;54,00;57,00;59,00;57,00;57,00;;;;;;;
3;r066;R;1;1;f;T-wert;54,00;57,00;59,00;54,00;57,00;;;;;;;
3;t018;T;1;0;f;T-wert;59,00;60,00;59,00;64,00;53,00;;;;;;;
