Klasse;Kind;L1;Literacy;AoA;Gender;Ballungsgebiete;WORTTREFFER;GRAPHEMTREFFER;A;O;M;UEO;GF;OZ
1;t090;T;1;0;m;PR;23;27;92;23;NA;2,1;0,4;NA
1;t098;T;1;0;m;PR;8;13;32;43;NA;2,1;1;NA
1;t102;T;1;1;f;PR;4,9;12;32;7;NA;2,1;0,4;NA
1;t114;T;0;1;f;PR;0,8;10;6;23;NA;2,1;1;NA
2;t088;T;1;0;f;PR;21;21;20;25;3,9;0,8;NA;58
2;t102;T;1;1;f;PR;6;7;26;17;3,9;0,3;NA;10
2;t006;T;0;1;m;PR;3,7;7;34;1,4;13;0,3;NA;58
2;t075;T;1;1;f;PR;21;32;59;25;13;0,8;NA;58
2;t087;T;0;0;f;PR;0,1;0,4;0,4;1,4;13;71;NA;10
2;t098;T;1;0;m;PR;30;46;78;42;13;0,8;NA;10
2;t051;T;1;0;f;PR;13;17;20;25;24;0,3;NA;58
2;t061;T;0;1;f;PR;17;37;59;17;24;0,3;NA;58
2;t068;T;0;1;f;PR;8;4,8;20;5;24;71;NA;58
2;t090;T;1;0;m;PR;13;32;59;49;24;0,8;NA;58
2;t114;T;0;1;f;PR;21;34;45;24;24;0,8;NA;58
2;t049;T;0;0;m;PR;10;17;20;49;48;8;NA;58
2;t059;T;1;1;m;PR;36;46;59;62;60;0,8;NA;58
2;t063;T;1;0;f;PR;51;68;92;69;60;0,3;NA;58
2;t074;T;1;0;m;PR;41;60;92;17;79;8;NA;58
2;t089;T;1;0;f;PR;36;53;45;49;79;2,9;NA;58
2;t018;T;1;0;f;PR;95;95;92;93;99;71;NA;58
3;t088;T;1;0;f;PR;9;11;14;10;2,2;0,4;NA;68
3;t068;T;0;1;f;PR;1,9;3,4;21;0,6;4,9;0,3;NA;25
3;t087;T;0;0;f;PR;0,6;0,3;0,4;7;4,9;0,4;NA;68
3;t102;T;1;1;f;PR;9;16;14;16;10;0,4;NA;68
3;t006;T;0;1;m;PR;12;10;6;10;17;6;NA;68
3;t075;T;1;1;f;PR;11;11;52;22;17;0,3;NA;68
3;t089;T;1;0;f;PR;24;28;21;43;17;6;NA;68
3;t114;T;0;1;f;PR;6;6;4;2,4;17;1;NA;68
3;t049;T;0;0;m;PR;24;31;52;22;26;18;NA;9
3;t051;T;1;0;f;PR;21;28;14;43;26;1;NA;9
3;t063;T;1;0;f;PR;34;46;52;43;26;6;NA;68
3;t074;T;1;0;m;PR;38;49;82;54;36;2,8;NA;68
3;t059;T;1;1;m;PR;59;62;52;64;48;18;NA;68
3;t061;T;0;1;f;PR;59;56;82;77;48;6;NA;68
3;t090;T;1;0;m;PR;28;33;9;54;48;8;NA;68
3;t018;T;1;0;f;PR;82;85;82;92;60;30;NA;68
3;t098;T;1;0;m;PR;34;41;21;64;60;30;NA;2,5
